"","gene.name","X","raw.P.values","Adjusted.P.values","Log.fold.change"
"362"," ENSMUSG00000020057 "," Dram1 ",0.00242,0.0224,-0.517
"363"," ENSMUSG00000029708 "," Gcc1 ",0.0122,0.0724,-0.516
"364"," ENSMUSG00000034210 "," Efcab14 ",2.53e-06,9.54e-05,-0.516
"365"," ENSMUSG00000025085 "," Ablim1 ",0.00911,0.0589,-0.515
"366"," ENSMUSG00000059981 "," Taok2 ",0.000143,0.00253,-0.515
"367"," ENSMUSG00000020486 "," Sept4 ",0.000547,0.00713,-0.515
"368"," ENSMUSG00000045312 "," Lhfpl2 ",0.00213,0.0204,-0.515
"369"," ENSMUSG00000024169 "," Ift140 ",0.00163,0.0168,-0.515
"370"," ENSMUSG00000042446 "," Zmym4 ",0.00865,0.0569,-0.514
"371"," ENSMUSG00000020077 "," Srgn ",0.00994,0.0625,-0.514
"372"," ENSMUSG00000028960 "," Ube4b ",0.000221,0.00354,-0.513
"373"," ENSMUSG00000024163 "," Mapk8ip3 ",0.0121,0.072,-0.513
"374"," ENSMUSG00000032870 "," Smap2 ",5.76e-06,0.000186,-0.513
"375"," ENSMUSG00000076435 "," Acsf2 ",0.0258,0.122,-0.512
"376"," ENSMUSG00000036352 "," Ubac1 ",0.013,0.0756,-0.512
"377"," ENSMUSG00000037685 "," Atp8a1 ",0.0132,0.0765,-0.512
"378"," ENSMUSG00000031229 "," Atrx ",5.82e-05,0.00123,-0.511
"379"," ENSMUSG00000034663 "," Bmp2k ",0.0018,0.0179,-0.51
"380"," ENSMUSG00000029202 "," Pds5a ",0.00218,0.0208,-0.51
"381"," ENSMUSG00000026491 "," Ahctf1 ",0.000926,0.0107,-0.509
"382"," ENSMUSG00000052593 "," Adam17 ",0.000557,0.0072,-0.508
"383"," ENSMUSG00000054874 "," Pcnxl3 ",0.00253,0.0231,-0.505
"384"," ENSMUSG00000027750 "," Postn ",0.0378,0.159,-0.505
"385"," ENSMUSG00000051329 "," Nup160 ",0.000582,0.00745,-0.504
"386"," ENSMUSG00000036330 "," Slc18a1 ",0.0152,0.0852,-0.504
"387"," ENSMUSG00000041303 "," Gtf3c3 ",0.0183,0.097,-0.504
"388"," ENSMUSG00000063077 "," Kif1b ",0.00227,0.0214,-0.504
"389"," ENSMUSG00000033819 "," Ppp1r16a ",0.0112,0.068,-0.503
"390"," ENSMUSG00000028830 "," AU040320 ",3.96e-06,0.000137,-0.503
"391"," ENSMUSG00000024393 "," Prrc2a ",0.0114,0.0688,-0.502
"392"," ENSMUSG00000021806 "," Nid2 ",0.00115,0.0127,-0.5
"393"," ENSMUSG00000004633 "," Chn2 ",0.00159,0.0165,-0.5
